file_id,file_name,agreement_rate,overall_confidence,text_source,rescued_text_path,policy_name,policy_type,gov_level,policy_intensity,policy_tone,regulatory_stringency,policy_objective_level,issuing_authority,policy_tools,pollutant_types,target_industries,implementation_mechanism,referenced_policies,quantitative_targets,innovation_points,penalty_provisions,vertical_coordination,n_tools,n_pollutants,n_industries,n_impl,n_refs,n_targets,has_penalty,has_vertical_coordination,relative_path,inferred_year,inferred_level,inferred_doc_family,page_count,char_count,doc_family_cn,rescue_flag,tool_命令控制型,tool_信息公开型,tool_经济激励型,tool_市场机制型,tool_自愿型
01,01_大气污染防治行动计划_2013_国务院.pdf,0.685,0.685,pdfplumber,,大气污染防治行动计划,行政法规,中央,强制性,严厉,5,结果型,国务院,"[""命令控制型"", ""经济激励型"", ""市场机制型"", ""信息公开型"", ""自愿型""]","[""大气污染物""]","[""电力"", ""钢铁"", ""水泥"", ""化工"", ""石化"", ""交通运输"", ""建筑施工"", ""工业"", ""有色金属冶炼""]","[""环评审批"", ""总量控制"", ""目标责任考核"", ""区域联防联控"", ""排污许可""]","[""部分工业行业淘汰落后生产工艺装备和产品指导目录（2010年本）"", ""产业结构调整指导目录（2011年本）（修正）"", ""中华人民共和国大气污染防治法"", ""中华人民共和国环境保护法""]","[""北京市PM2.5年均浓度控制在60微克/立方米左右""]","""首次以国务院文件形式出台大气污染防治综合性行动计划；建立京津冀、长三角区域大气污染防治协作机制；设立大气污染防治专项资金实施“以奖代补”；将重点区域的细颗粒物指标、非重点地区的可吸入颗粒物指标作为经济社会发展的约束性指标。""",对偷排偷放、屡查屡犯的违法企业，要依法停产关闭。对涉嫌环境犯罪的，要依法追究刑事责任。对未通过年度考核的，由环保部门会同组织部门、监察机关等部门约谈省级人民政府及其相关部门有关负责人。对干预、伪造监测数据和没有完成年度目标任务的，监察机关要依法依纪追究有关单位和人员的责任，环保部门要对有关地区和企业实施建设项目环评限批。,是，明确建立区域协作机制，国务院与各省（区、市）人民政府签订目标责任书，分解目标任务，建立考核问责机制，对未通过年度考核的地区实施约谈和责任追究,5,1,9,5,4,1,1,1,预调研/政策文件/01_大气污染防治行动计划_2013_国务院.pdf,2013,central,policy_document,11,10079,意见/行动计划,原生文本,1,1,1,1,1
02,02_水污染防治行动计划_2015_国务院.pdf,0.594,0.594,pdfplumber,,水污染防治行动计划（水十条）,行政法规,中央,强制性,严厉,5,结果型,国务院,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""市场机制型"", ""自愿型""]","[""水污染物"", ""总氮"", ""总磷"", ""重金属"", ""海洋污染物""]","[""工业"", ""农业"", ""石化"", ""城镇生活"", ""交通运输"", ""船舶港口"", ""垃圾填埋"", ""渔业"", ""畜禽养殖"", ""市政"", ""水产养殖""]","[""排污许可制度"", ""总量控制"", ""目标责任考核"", ""信息公开"", ""环境监测网络"", ""公众参与""]","[""中华人民共和国环境保护法"", ""中华人民共和国水污染防治法""]","[""地级及以上城市建成区黑臭水体控制在10%以内"", ""地级及以上城市集中式饮用水水源水质达到或优于Ⅲ类比例总体高于93%"", ""近岸海域水质优良比例达到70%左右"", ""地级及以上城市自2016年起每季度向社会公开饮水安全状况"", ""单一水源供水的地级及以上城市应于2020年底前基本完成备用水源或应急水源建设"", ""加油站地下油罐应于2017年底前全部更新为双层罐或完成防渗池设置""]","""建立领导干部生态环境损害终身追责机制；实施水环境质量城市排名公开（公布最好最差10个城市名单）；建立从水源到水龙头的全过程饮用水安全监管体系；将自然岸线保护纳入沿海地方政府政绩考核；建立全国水污染防治工作协作机制""",对未通过年度考核的约谈省级人民政府及其相关部门负责人，提出整改意见；对有关地区和企业实施建设项目环评限批；对因工作不力、履职缺位等导致未能有效应对水环境污染事件的，以及干预、伪造数据和没有完成年度目标任务的，依法依纪追究有关单位和人员责任；对不顾生态环境盲目决策导致水环境质量恶化的领导干部记录在案，视情节轻重给予组织处理或党纪政纪处分，已离任的也要终身追究责任,是，明确划分各级政府职责，要求地方制定配套实施方案（各级地方政府需于2015年底前制定并公布工作方案并报国务院备案），设立目标考核问责机制（签订目标责任书、年度考核、终身追责）,5,5,11,6,2,6,1,1,预调研/政策文件/02_水污染防治行动计划_2015_国务院.pdf,2015,central,policy_document,17,16334,意见/行动计划,原生文本,1,1,1,1,1
03,03_土壤污染防治行动计划_2016_国务院.pdf,0.478,0.478,pdfplumber,,土壤污染防治行动计划（土十条）,规范性文件,中央,强制性,严厉,5,结果型,国务院,"[""命令控制型"", ""经济激励型"", ""市场机制型"", ""信息公开型"", ""自愿型""]","[""土壤污染物"", ""重金属""]","[""农业"", ""有色金属矿采选"", ""有色金属冶炼"", ""石油开采"", ""石油加工"", ""化工"", ""焦化"", ""电镀"", ""制革"", ""畜禽养殖""]","[""信息公开"", ""目标责任制"", ""信息公开与公众参与""]","[""中华人民共和国环境保护法"", ""农药管理条例""]","[""到2020年受污染耕地安全利用率达到90%左右"", ""到2020年污染地块安全利用率达到90%以上""]","""首次系统制定土壤污染防治国家战略（土十条）；建立农用地土壤环境质量类别分类管理制度；建立建设用地土壤环境调查评估和负面清单制度；实行土壤污染治理与修复终身责任制；构建土壤环境信息化管理平台""",对评估较差或考核未通过的省（区、市）实施建设项目环评限批；对工作不力、问题突出的地区约谈政府负责人；对失职渎职、弄虚作假的予以诫勉、组织处理或党纪政纪处分；构成犯罪的依法追究刑事责任，实行终身追责。,是，明确'国家统筹、省负总责、市县落实'的管理体制，要求地方政府制定工作方案并报国务院备案，签订目标责任书，实施年度评估和2020年考核，建立终身责任追究机制,5,2,10,3,2,2,1,1,预调研/政策文件/03_土壤污染防治行动计划_2016_国务院.pdf,2016,central,policy_document,17,13886,意见/行动计划,原生文本,1,1,1,1,1
04,04_环境保护税法_2016.pdf,0.603,0.603,pdfplumber,,中华人民共和国环境保护税法,法律,中央,强制性,中性,4,产出型,全国人民代表大会常务委员会,"[""经济激励型"", ""命令控制型""]","[""大气污染物"", ""水污染物"", ""固体废物"", ""噪声""]","[""企业事业单位"", ""其他生产经营者"", ""企业事业单位和其他生产经营者"", ""规模化养殖"", ""城乡污水集中处理"", ""生活垃圾集中处理"", ""工业"", ""农业（规模化养殖）"", ""交通运输"", ""污水处理"", ""垃圾处理""]","[""税务机关征收管理"", ""生态环境主管部门监测管理"", ""涉税信息共享平台""]","[""中华人民共和国税收征收管理法"", ""中华人民共和国环境保护法""]","[""浓度值低于排放标准30%减按75%征收"", ""浓度值低于排放标准50%减按50%征收"", ""省级政府可在税额幅度内确定具体适用税额"", ""未设定具体数值目标"", ""未设定具体数值目标，通过税收杠杆激励污染物减排""]","""['实现排污费改税，强化执法刚性和规范性', '建立正向减排激励机制，排放浓度低于标准30%减按75%征收，低于50%减按50%征收', '建立税务机关与生态环境主管部门涉税信息共享平台和工作配合机制', '赋予省级政府在一定幅度内确定税额标准的自主裁量权，体现区域差异']""",纳税人和税务机关、生态环境主管部门及其工作人员违反本法规定的，依照《中华人民共和国税收征收管理法》《中华人民共和国环境保护法》和有关法律法规的规定追究法律责任,是，明确划分央地权责：应税大气污染物和水污染物的具体适用税额由省级政府统筹考虑本地区环境承载能力、污染物排放现状和经济社会生态发展目标要求，在法定税额幅度内提出，报同级人民代表大会常务委员会决定；省级政府可根据本地区污染物减排特殊需要，增加同一排放口征收环境保护税的应税污染物项目数；县级以上地方人民政府应当建立税务机关、生态环境主管部门和其他相关单位分工协作工作机制,2,4,11,3,2,5,1,1,预调研/政策文件/04_环境保护税法_2016.pdf,2016,central,law,16,3706,法律,原生文本,1,0,1,0,0
05,05_碳排放权交易管理办法_2021_生态环境部.pdf,0.616,0.616,pdfplumber,,碳排放权交易管理办法（试行）,部门规章,中央,强制性,中性,4,产出型,生态环境部,"[""市场机制型"", ""命令控制型"", ""信息公开型""]","[""温室气体""]","[""全国碳排放权交易市场覆盖行业""]","[""温室气体排放报告与核查"", ""信息公开与公众监督""]","[""国家有关温室气体排放控制的要求""]","[""重点排放单位年度温室气体排放量门槛：2.6万吨二氧化碳当量"", ""CCER抵销比例上限：应清缴配额的5%"", ""重点排放单位门槛：年度温室气体排放量达到2.6万吨二氧化碳当量"", ""自愿减排量抵销比例：不得超过应清缴碳排放配额的5%"", ""年度温室气体排放量达到2.6万吨二氧化碳当量（重点排放单位纳入门槛）"", ""国家核证自愿减排量抵销比例不得超过应清缴碳排放配额的5%""]","""建立全国统一的碳排放权交易市场体系；明确重点排放单位纳入门槛（2.6万吨二氧化碳当量）；建立碳排放配额有偿分配预留机制；引入国家核证自愿减排量（CCER）抵销机制；实现碳排放权注册登记系统与交易系统数据交换""",重点排放单位虚报、瞒报温室气体排放报告，或者拒绝履行温室气体排放报告义务的，责令限期改正，处一万元以上三万元以下的罚款；逾期未改正的，由省级生态环境主管部门测算其温室气体实际排放量作为清缴依据，并对虚报、瞒报部分等量核减其下一年度碳排放配额。重点排放单位未按时足额清缴碳排放配额的，责令限期改正，处二万元以上三万元以下的罚款；逾期未改正的，对欠缴部分等量核减其下一年度碳排放配额。工作人员滥用职权、玩忽职守、徇私舞弊的，依法给予处分；涉嫌犯罪的，移送司法机关。,是，明确划分生态环境部、省级生态环境主管部门、设区的市级生态环境主管部门三级职责，要求省级确定重点排放单位名录、分配配额并核查，市级配合落实具体工作,3,1,1,2,1,6,1,1,预调研/政策文件/05_碳排放权交易管理办法_2021_生态环境部.pdf,2021,central,administrative_rule,11,5310,部门规章,原生文本,1,1,0,1,0
06,06_环境保护法_2014修订.pdf,0.675,0.675,pdfplumber,,中华人民共和国环境保护法（2014年修订）,法律,中央,强制性,严厉,5,结果型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""大气污染物"", ""水污染物"", ""固体废物"", ""噪声"", ""放射性物质"", ""综合""]","[""工业"", ""农业"", ""畜禽养殖"", ""交通运输"", ""服务业""]","[""排污许可制度"", ""总量控制"", ""环评审批"", ""信息公开与公众参与""]","[""中华人民共和国侵权责任法"", ""中华人民共和国突发事件应对法""]","[""未设定具体数值目标""]","""首次引入按日连续处罚制度；建立环境公益诉讼制度；规定环境污染损害赔偿诉讼时效为三年；建立环境资源承载能力监测预警机制；强化地方政府和部门问责机制；首次明确生态保护补偿制度""",违法排污拒不改正的按日连续处罚（第59条）；超标或超总量排放的责令限制生产、停产整治，情节严重的责令停业关闭（第60条）；对拒不执行环评、排污许可及逃避监管排污等行为责任人处5-15日行政拘留（第63条）；构成犯罪的依法追究刑事责任（第69条）；对违法履职的政府工作人员给予记过至开除处分，主要负责人引咎辞职（第68条）,是，明确划分中央与地方环保职责（第6、10条），要求地方政府将环保纳入国民经济和社会发展规划（第13条），建立环保目标责任制和考核评价制度（第26条），对不依法履职的政府部门负责人实行引咎辞职等问责（第68条）,4,6,5,4,2,1,1,1,预调研/政策文件/06_环境保护法_2014修订.pdf,2014,central,law,10,10299,法律,原生文本,1,1,1,0,1
07,07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,0.563,0.563,pdfplumber,,国务院关于加快建立健全绿色低碳循环发展经济体系的指导意见,规范性文件,中央,引导性,中性,4,结果型,国务院,"[""命令控制型"", ""经济激励型"", ""市场机制型"", ""信息公开型"", ""自愿型""]","[""综合"", ""大气污染物"", ""水污染物"", ""固体废物"", ""温室气体""]","[""工业"", ""农业"", ""服务业"", ""建筑业""]","[""绿色金融"", ""标准认证体系""]","[""中华人民共和国环境保护法"", ""中华人民共和国清洁生产促进法""]","[""未设定具体数值目标""]","""系统构建覆盖生产、流通、消费全链条的绿色低碳循环发展经济体系；推行全方位全过程绿色化（绿色规划、设计、投资、建设、生产、流通、生活、消费）；建立绿色供应链制度体系；推动绿色权属交易与相关目标指标对接协调""",严厉打击虚标绿色产品行为，行政处罚信息纳入国家企业信用信息公示系统；强化执法监督，加大违法行为查处和问责力度,是，要求各地区根据本地实际研究提出具体措施，压实工作责任，加强督促落实，重大情况及时向党中央、国务院报告,5,5,4,2,2,1,1,1,预调研/政策文件/07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,2021,central,policy_document,11,6381,意见/行动计划,原生文本,1,1,1,1,1
08,08_排污许可管理条例_2021_国务院.pdf,0.654,0.654,pdfplumber,,排污许可管理条例,行政法规,中央,强制性,严厉,5,过程型,国务院,"[""命令控制型"", ""信息公开型""]","[""综合""]","[""工业"", ""城镇污水集中处理设施"", ""其他排放污染物的企业事业单位和生产经营者"", ""实行排污许可管理的所有企业事业单位和其他生产经营者"", ""企业事业单位和其他生产经营者（实行排污许可管理）"", ""城镇和工业污水集中处理设施"", ""需要填报排污登记表的企业事业单位和其他生产经营者""]","[""排污许可制度""]","[""中华人民共和国环境保护法"", ""中华人民共和国安全生产法""]","[""未设定具体数值目标""]","""首次以行政法规形式确立排污许可分类管理制度；明确排污许可证有效期为5年；建立全国统一的排污许可证管理信息平台；规定排污单位自行监测数据与生态环境部门监测数据不一致时以生态环境部门数据为准；建立排污单位环境信用记录纳入国家信用信息系统""",无证排污处20万元以上100万元以下罚款，情节严重责令停业关闭；超许可排放浓度或排放量处20万元以上100万元以下罚款，情节严重吊销排污许可证；未建立台账记录或未提交执行报告处每次5千元以上2万元以下罚款；通过暗管、渗井、渗坑、灌注或篡改伪造监测数据等方式违法排放处20万元以上100万元以下罚款，情节严重吊销许可证；拒不改正的按日连续处罚,是，明确划分国务院生态环境主管部门负责全国统一监督管理，设区的市级以上地方人民政府生态环境主管部门负责本行政区域监督管理；建立全国排污许可证管理信息平台实现央地信息共享,2,1,7,1,2,1,1,1,预调研/政策文件/08_排污许可管理条例_2021_国务院.pdf,2021,central,regulation,19,8471,条例/法规,原生文本,1,1,0,0,0
09,09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,0.588,0.588,pdfplumber,,企业环境信息依法披露管理办法,部门规章,中央,强制性,严厉,4,过程型,生态环境部,"[""信息公开型"", ""命令控制型""]","[""大气污染物"", ""水污染物"", ""固体废物"", ""温室气体"", ""综合""]","[""重点排污单位"", ""上市公司"", ""发债企业"", ""实施强制性清洁生产审核的企业""]","[""企业名单管理制度"", ""监督检查机制""]","[""中华人民共和国环境保护法"", ""中华人民共和国清洁生产促进法"", ""公共企事业单位信息公开规定制定办法"", ""环境信息依法披露制度改革方案""]","[""未设定具体数值目标"", ""未设定具体环境质量改善数值目标"", ""每年3月15日前披露上一年度环境信息"", ""收到法律文书后5个工作日内披露临时信息"", ""企业名单公示期不少于10个工作日"", ""罚款额度1-10万元""]","""首次系统性地建立企业环境信息依法披露制度，明确上市公司和发债企业为强制披露主体，建立企业名单动态管理机制，将环境信息依法披露纳入企业信用管理，推动环境信息跨部门跨领域跨地区互联互通""",企业不披露环境信息或披露不真实准确的，责令改正，通报批评，可处1万元以上10万元以下罚款；披露信息不符合准则要求、超过规定时限或未上传至系统的，责令改正，通报批评，可处5万元以下罚款,是，明确了生态环境部负责全国环境信息依法披露的组织、指导、监督和管理，设区的市级以上地方生态环境主管部门负责本行政区域内的组织实施和监督管理，建立了省-市两级报送机制,2,5,4,2,4,6,1,1,预调研/政策文件/09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,2021,central,administrative_rule,9,4352,部门规章,原生文本,1,1,0,0,0
10,10_北京市大气污染防治条例_2014.pdf,0.533,0.533,pdfplumber,,北京市大气污染防治条例,地方性法规,省级,强制性,严厉,5,结果型,北京市第十四届人民代表大会第二次会议,"[""命令控制型"", ""经济激励型"", ""市场机制型"", ""信息公开型"", ""自愿型""]","[""大气污染物"", ""细颗粒物"", ""挥发性有机物"", ""扬尘""]","[""工业"", ""建筑施工"", ""餐饮服务"", ""电力"", ""交通运输"", ""服装干洗"", ""机动车维修"", ""矿产资源开采"", ""石油化工""]","[""排污许可制度"", ""总量控制"", ""环评审批"", ""目标责任考核"", ""区域联防联控""]","[""中华人民共和国大气污染防治法"", ""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""首次在地方性法规中明确大气污染物排污权交易试点；建立企业信用系统向社会公开违法企业名单；规定机动车和非道路移动机械排放控制装置不得擅自更改；建立空气重污染应急预案和应急响应机制""",规定了广泛的罚款、责令改正、限制生产、停产整治、责令停业关闭、查封设施、没收违法所得等处罚措施。罚款金额从数百元至五十万元不等，对多次违法可加倍处罚。构成犯罪的，依法追究刑事责任。,是，明确划分市、区（县）两级政府职责，建立大气环境质量目标责任制和考核评价制度，要求区县政府制定年度计划并组织落实，定期向人大报告,5,4,9,5,2,1,1,1,预调研/政策文件/10_北京市大气污染防治条例_2014.pdf,2014,local,regulation,11,14421,条例/法规,原生文本,1,1,1,1,1
11,11_中华人民共和国水污染防治法_2017修正.pdf,0.618,0.618,pdfplumber,,中华人民共和国水污染防治法（节选第四章至第六章）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""信息公开型""]","[""水污染物""]","[""工业"", ""农业"", ""船舶运输"", ""城镇污水处理""]","[""排污许可制度""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""建立生态环境损害赔偿制度并实行举证责任倒置（第98条）；强化饮用水水源保护（一级、二级、准保护区分类管控，第84条）；与环境保护法衔接引入行政拘留（依据第101条依法追究刑事责任，原文节选未显示具体拘留条款）""",违法排污最高罚款100万元（第83条、第85条）；在饮用水水源保护区设置排污口逾期不拆除的处50-100万元罚款（第84条）；向水体排放油类、酸液、碱液或剧毒废液的处10-100万元罚款，情节严重责令停业关闭（第85条）；建设不符合国家产业政策的严重污染项目由市县政府责令关闭（第87条）；污泥处理不符合标准的处10-20万元罚款（第88条）；船舶违法排放处1-10万元罚款，造成水污染的处2-20万元罚款（第90条）,是，明确划分各级政府职责权限，如责令关闭需报经有批准权的人民政府批准（第83条），市县级政府负责关闭严重污染项目（第87条），环保部门负责日常监管与处罚（第80-82条），建立分级负责的执法体系,2,1,4,1,1,1,1,1,预调研/政策文件/11_中华人民共和国水污染防治法_2017修正.pdf,2017,central,law,36,29765,法律,原生文本,1,1,0,0,0
12,12_中华人民共和国大气污染防治法_2018修正.pdf,0.66,0.66,pdfplumber,,中华人民共和国大气污染防治法（节选：重点区域大气污染联合防治、重污染天气应对、法律责任章节）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""市场机制型""]","[""大气污染物""]","[""电力"", ""交通运输"", ""建筑施工"", ""工业"", ""农业"", ""石油化工""]","[""排污许可制度"", ""区域联防联控"", ""总量控制"", ""目标责任考核"", ""环评审批""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""明确以改善大气环境质量为目标，坚持源头治理；对颗粒物、二氧化硫、氮氧化物、挥发性有机物、氨等大气污染物和温室气体实施协同控制；国家逐步推行重点大气污染物排污权交易""",处罚条款广泛且严厉，涵盖拒绝检查、无证排污、超标排污、监测数据造假、使用不合格燃料、违法施工扬尘、违法餐饮油烟排放、违法露天焚烧、不执行应急措施等。罚款金额从数百元至数百万元不等，并设按日连续处罚、责令停产整治、停业关闭等。对造成污染事故的，按直接损失1-5倍罚款。,是，明确划分国务院、省级、城市、县级人民政府职责，要求地方制定配套实施细则（如划定高污染燃料禁燃区、禁止使用高排放非道路移动机械区域等），建立目标考核机制,4,1,6,5,1,1,1,1,预调研/政策文件/12_中华人民共和国大气污染防治法_2018修正.pdf,2018,central,law,41,33400,法律,原生文本,1,1,1,1,0
